project,area_bucket,district,tenure,propertyType,avg_buy,most_recent_buy,avg_buy_2020,avg_buy_2021,avg_buy_2022,avg_buy_2023,avg_buy_2024,avg_buy_2025,avg_rent,most_recent_rent,avg_rent_2020,avg_rent_2021,avg_rent_2022,avg_rent_2023,avg_rent_2024,avg_rent_2025,ROI
10 SHELFORD,80-90,11.0,Freehold,Apartment,1018000.0,1230000.0,955000.0,970000.0,980000.0,1230000.0,,,2982.3333333333335,3100.0,,2400.0,3500.0,3550.0,3120.5,3175.0,33.064516129032256
10 SHELFORD,90-100,11.0,Freehold,Apartment,1035000.0,1035000.0,,1035000.0,,,,,3292.8571428571427,3400.0,,3050.0,3050.0,3500.0,3500.0,3400.0,25.367647058823533
105 LORONG G,150-160,,,,,,,,,,,,4050.0,4100.0,,,,4000.0,4100.0,,
11 AMBER ROAD,100-150,15.0,Freehold,Apartment,2622000.0,3680000.0,,2150000.0,2730000.0,,,3040000.0,,,,,,,,,
11 AMBER ROAD,120-130,,,,,,,,,,,,6200.0,6200.0,,,,,6200.0,,
11 AMBER ROAD,130-140,,,,,,,,,,,,5209.821428571428,6200.0,,3728.125,5212.5,5712.5,6260.0,6066.666666666667,
11 AMBER ROAD,170-180,,,,,,,,,,,,6500.0,6500.0,,,,6500.0,,,
11 AMBER ROAD,250-300,15.0,Freehold,Apartment,4880000.0,4880000.0,,,,,4880000.0,,,,,,,,,,
111 EMERALD HILL,150-200,9.0,Freehold,Apartment,4739566.666666667,4525000.0,,4350000.0,4956200.0,4725000.0,,,,,,,,,,,
111 EMERALD HILL,180-190,,,,,,,,,,,,9721.538461538461,10200.0,,7925.0,10100.0,11460.0,10000.0,,
111 EMERALD HILL,190-200,,,,,,,,,,,,10152.631578947368,10000.0,,8720.0,9400.0,13200.0,10825.0,10000.0,
111 EMERALD HILL,200-250,9.0,Freehold,Apartment,5450000.0,5550000.0,5300000.0,5400000.0,5325000.0,,5675000.0,,,,,,,,,,
